,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Label,Output
2796,172.17.237.22-172.17.237.23-5566-4408-6,172.17.237.23,4408.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,85.0,DDOS,DDOS
2797,172.17.237.22-172.17.237.23-5566-4409-6,172.17.237.23,4409.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,86.0,DDOS,DDOS
2798,172.17.237.22-172.17.237.23-5566-4410-6,172.17.237.23,4410.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,82.0,DDOS,DDOS
2799,172.17.237.22-172.17.237.23-5566-4411-6,172.17.237.23,4411.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,86.0,DDOS,DDOS
2800,172.17.237.22-172.17.237.23-5566-4412-6,172.17.237.23,4412.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,73.0,DDOS,DDOS
2801,172.17.237.22-172.17.237.23-5566-4413-6,172.17.237.23,4413.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,86.0,DDOS,DDOS
2802,172.17.237.22-172.17.237.23-5566-4414-6,172.17.237.23,4414.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,83.0,DDOS,DDOS
2803,172.17.237.22-172.17.237.23-5566-4415-6,172.17.237.23,4415.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,85.0,DDOS,DDOS
2804,172.17.237.22-172.17.237.23-5566-4416-6,172.17.237.23,4416.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,85.0,DDOS,DDOS
2805,172.17.237.22-172.17.237.23-5566-4417-6,172.17.237.23,4417.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,86.0,DDOS,DDOS
2806,172.17.237.22-172.17.237.23-5566-4418-6,172.17.237.23,4418.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,87.0,DDOS,DDOS
2807,172.17.237.22-172.17.237.23-5566-4419-6,172.17.237.23,4419.0,172.17.237.22,5566.0,6.0,22-12-21 14:34,84.0,DDOS,DDOS
